date,datetime,cash_type,card,money,coffee_name
5/23/24,2024-05-23 19:42:32,card,ANON-0000-0000-0206,37.72,Cappuccino
5/23/24,2024-05-23 20:15:01,card,ANON-0000-0000-0207,37.72,Cappuccino
5/23/24,2024-05-23 20:16:24,card,ANON-0000-0000-0207,37.72,Latte
5/23/24,2024-05-23 22:48:11,card,ANON-0000-0000-0208,32.82,Americano with Milk
5/23/24,2024-05-23 22:55:37,cash,,39,Hot Chocolate
5/24/24,2024-05-24 11:11:59,card,ANON-0000-0000-0141,27.92,Cortado
5/24/24,2024-05-24 11:15:08,card,ANON-0000-0000-0012,27.92,Americano
5/24/24,2024-05-24 11:16:13,card,ANON-0000-0000-0012,27.92,Americano
5/24/24,2024-05-24 16:07:20,card,ANON-0000-0000-0081,37.72,Hot Chocolate
5/24/24,2024-05-24 18:17:40,card,ANON-0000-0000-0209,27.92,Cortado
5/24/24,2024-05-24 18:18:37,card,ANON-0000-0000-0209,27.92,Cortado
5/24/24,2024-05-24 22:30:40,card,ANON-0000-0000-0210,32.82,Americano with Milk
5/25/24,2024-05-25 07:40:59,cash,,29,Americano
5/25/24,2024-05-25 12:13:53,card,ANON-0000-0000-0211,37.72,Latte
5/25/24,2024-05-25 12:40:24,cash,,29,Americano
5/25/24,2024-05-25 12:42:10,card,ANON-0000-0000-0212,32.82,Americano with Milk
5/25/24,2024-05-25 12:43:13,card,ANON-0000-0000-0212,32.82,Americano with Milk
5/25/24,2024-05-25 12:58:12,card,ANON-0000-0000-0213,32.82,Americano with Milk
5/25/24,2024-05-25 16:47:10,card,ANON-0000-0000-0040,32.82,Americano with Milk
5/25/24,2024-05-25 16:48:17,card,ANON-0000-0000-0040,27.92,Americano
5/26/24,2024-05-26 10:20:02,card,ANON-0000-0000-0001,37.72,Latte
5/26/24,2024-05-26 14:24:50,card,ANON-0000-0000-0214,32.82,Americano with Milk
5/26/24,2024-05-26 14:26:05,card,ANON-0000-0000-0215,27.92,Cortado
5/26/24,2024-05-26 14:40:59,card,ANON-0000-0000-0216,32.82,Americano with Milk
5/26/24,2024-05-26 17:19:16,card,ANON-0000-0000-0217,37.72,Cappuccino
5/26/24,2024-05-26 18:09:53,card,ANON-0000-0000-0218,37.72,Hot Chocolate
5/26/24,2024-05-26 18:11:02,card,ANON-0000-0000-0218,37.72,Hot Chocolate
5/26/24,2024-05-26 18:13:14,card,ANON-0000-0000-0218,27.92,Americano
5/26/24,2024-05-26 18:39:19,card,ANON-0000-0000-0219,37.72,Latte
